coordinator	C	C
Zemilton	C	C
Silva	N	C
witnessed	C	C
this	N	N
happen	N	N
to	N	N
three	N	N
men	N	N
,	N	C
and	N	N
forensic	C	C
report	N	N
that	N	N
there	N	N
have	N	N
been	N	N
more	N	N
.	N	C
----------
After	N	N
repeatedly	C	C
trying	N	N
to	N	N
get	N	N
someone	N	N
to	N	N
come	N	N
to	N	N
the	N	N
door	N	N
,	N	C
officers	C	N
forced	N	N
their	N	N
way	N	N
into	N	N
the	N	N
house	N	N
.	N	C
----------
Here	N	N
,	N	C
police	N	N
say	N	N
,	N	C
they	N	N
were	N	N
met	N	N
by	N	N
gunfire	C	C
and	N	N
a	N	N
standoff	C	C
ensued	C	C
.	N	C
----------
Prison	C	N
authorities	C	N
said	N	N
that	N	N
some	N	N
victims	C	C
were	N	N
decapitated	C	C
.	N	C
----------
Reportedly	C	C
Conley	N	C
had	N	N
a	N	N
lengthy	C	C
history	N	N
of	N	N
violent	C	C
behavior	C	N
that	N	N
landed	C	C
him	N	N
in	N	N
prison	C	N
multiple	C	N
times	N	N
.	N	C
----------
At	N	N
least	N	N
26	N	N
killed	N	N
in	N	N
another	N	N
Brazil	N	N
prison	N	N
riot	C	C
In	N	N
the	N	N
latest	N	N
of	N	N
a	N	N
series	C	N
of	N	N
prison	C	N
riots	C	C
in	N	N
prisons	C	C
across	N	N
Brazil	N	N
,	N	C
dozens	C	C
of	N	N
inmates	C	C
,	N	C
mostly	N	N
rival	C	C
gangs	C	C
,	N	C
were	N	N
reported	N	N
dead	N	N
at	N	N
the	N	N
State	N	N
Penitentiary	C	C
of	N	N
Alcaçuz	C	C
,	N	C
a	N	N
state	N	N
prison	N	N
located	N	N
in	N	N
Natal	N	C
,	N	C
the	N	N
capital	C	N
of	N	N
the	N	N
Brazilian	C	C
state	N	N
,	N	C
Rio	N	C
Grande	N	C
do	N	N
Norte	C	C
.	N	C
----------
After	N	N
upwards	C	C
of	N	N
an	N	N
hour	N	N
,	N	C
with	N	N
the	N	N
house	N	N
surrounded	C	C
by	N	N
special	N	N
police	N	N
units	C	N
,	N	C
the	N	N
suspect	C	C
was	N	N
talked	N	N
out	N	N
of	N	N
the	N	N
house	N	N
.	N	C
----------
Manning	N	C
,	N	C
who	N	N
in	N	N
2010	N	N
released	C	N
thousands	C	N
of	N	N
classified	C	C
documents	N	N
to	N	N
the	N	N
public	N	N
through	N	N
WikiLeaks	C	C
detailing	C	C
abuses	C	C
of	N	N
the	N	N
Iraq	N	C
and	N	N
Afghanistan	C	C
wars	N	N
,	N	C
has	N	N
already	N	N
served	N	N
almost	N	N
seven	N	N
years	N	N
in	N	N
prison	C	N
and	N	N
is	N	N
now	N	N
scheduled	C	C
for	N	N
release	C	N
on	N	N
May	N	N
17	N	N
of	N	N
this	N	N
year	N	N
.	N	C
----------
The	N	N
government	N	N
says	N	N
the	N	N
dead	N	N
include	N	N
five	N	N
suicide	C	N
bombers	C	C
.	N	C
----------
Eight	N	N
people	N	N
found	N	N
slain	C	C
inside	N	N
Houston-area	N	C
home	N	N
Saturday	N	N
night	N	N
,	N	C
police	N	N
in	N	N
Houston	N	C
,	N	C
Texas	N	N
,	N	C
United	N	N
States	N	N
,	N	C
discovered	C	N
eight	N	N
people	N	N
killed	N	N
in	N	N
a	N	N
home	N	N
.	N	C
----------
According	C	N
to	N	N
the	N	N
BBC	N	C
,	N	C
this	N	N
figure	N	N
is	N	N
triple	C	C
the	N	N
initial	C	N
reports	N	N
.	N	C
----------
His	N	N
government	C	N
stands	C	N
accused	C	C
by	N	N
Human	N	N
Rights	N	N
Watch	N	N
of	N	N
not	N	N
taking	N	N
adequate	C	C
measures	N	N
to	N	N
protect	N	N
the	N	N
nation	N	N
's	N	N
citizens	C	N
.	N	C
----------
Around	N	N
21:00	N	N
local	N	N
time	N	N
,	N	C
Harris	N	C
County	N	N
Sheriff	N	C
's	N	N
Office	N	N
(	N	C
HSCO	N	C
)	N	C
deputies	C	C
arrived	N	N
at	N	N
the	N	N
home	N	N
on	N	N
a	N	N
welfare	C	C
check	C	N
.	N	C
----------
Obama	N	N
commutes	C	C
whistleblower	C	C
's	N	N
sentence	N	N
:	N	C
Chelsea	N	C
Manning	C	C
to	N	N
walk	N	N
free	N	N
in	N	N
120	N	C
days	N	N
Yesterday	N	N
,	N	C
mere	C	C
days	N	N
before	N	N
he	N	N
is	N	N
to	N	N
leave	N	N
office	N	N
,	N	C
U.S.	N	N
President	N	N
Barack	N	C
Obama	N	N
commuted	C	C
the	N	N
sentence	C	N
of	N	N
Army	N	N
intelligence	C	N
officer	N	N
Chelsea	N	C
Manning	N	C
from	N	N
35	N	N
years	N	N
to	N	N
time	N	N
served	N	N
.	N	C
----------
Six	N	N
of	N	N
the	N	N
victims	C	C
were	N	N
children	N	N
.	N	C
----------
Reports	N	N
vary	C	C
but	N	N
,	N	C
as	N	N
of	N	N
Sunday	N	N
,	N	C
the	N	N
death	N	N
toll	C	C
may	N	N
have	N	N
reached	N	N
26	N	N
.	N	C
----------
David	N	N
Conley	N	C
,	N	C
49	N	N
,	N	C
was	N	N
arrested	C	N
by	N	N
the	N	N
HSCO	C	C
and	N	N
subsequently	C	C
charged	N	N
with	N	N
the	N	N
crimes	N	C
.	N	C
----------
Al-Qaeda	N	C
in	N	N
the	N	N
Islamic	N	C
Maghreb	C	C
claimed	C	N
a	N	N
single	N	N
bomber	N	C
from	N	N
affiliate	C	C
group	N	N
al-Mourabitoun	C	C
conducted	C	N
the	N	N
attack	N	N
.	N	C
----------
In	N	N
the	N	N
last	N	N
two	N	N
months	N	N
,	N	C
Bayern	N	C
Munich	N	C
has	N	N
announced	C	N
Polish	N	C
striker	C	C
Robert	N	N
Lewandowski	C	C
signed	N	N
a	N	N
contract	C	N
extension	C	C
until	N	N
June	N	N
2021	N	N
and	N	N
French	N	N
winger	C	C
Franck	N	C
Ribéry	C	C
signed	N	N
a	N	N
one-year	N	N
contract	N	N
extension	C	C
with	N	N
the	N	N
club	N	N
.	N	C
----------
