coordinator	C	C
Zemilton	C	N
Silva	N	N
witnessed	C	C
this	N	N
happen	N	N
to	N	N
three	N	N
men	N	N
,	N	N
and	N	N
forensic	C	N
report	N	N
that	N	N
there	N	N
have	N	N
been	N	N
more	N	N
.	N	N
----------
After	N	N
repeatedly	C	C
trying	N	N
to	N	N
get	N	N
someone	N	N
to	N	N
come	N	N
to	N	N
the	N	N
door	N	N
,	N	N
officers	C	N
forced	N	N
their	N	N
way	N	N
into	N	N
the	N	N
house	N	N
.	N	N
----------
Here	N	N
,	N	N
police	N	N
say	N	N
,	N	N
they	N	N
were	N	N
met	N	N
by	N	N
gunfire	C	N
and	N	N
a	N	N
standoff	C	N
ensued	C	N
.	N	N
----------
Prison	C	N
authorities	C	C
said	N	N
that	N	N
some	N	N
victims	C	N
were	N	N
decapitated	C	C
.	N	N
----------
Reportedly	C	C
Conley	N	N
had	N	N
a	N	N
lengthy	C	N
history	N	N
of	N	N
violent	C	N
behavior	C	N
that	N	N
landed	C	N
him	N	N
in	N	N
prison	C	N
multiple	C	N
times	N	N
.	N	N
----------
At	N	N
least	N	N
26	N	N
killed	N	N
in	N	N
another	N	N
Brazil	N	N
prison	N	N
riot	C	N
In	N	N
the	N	N
latest	N	N
of	N	N
a	N	N
series	C	N
of	N	N
prison	C	N
riots	C	N
in	N	N
prisons	C	N
across	N	N
Brazil	N	N
,	N	N
dozens	C	N
of	N	N
inmates	C	N
,	N	N
mostly	N	N
rival	C	N
gangs	C	N
,	N	N
were	N	N
reported	N	N
dead	N	N
at	N	N
the	N	N
State	N	N
Penitentiary	C	C
of	N	N
Alcaçuz	C	N
,	N	N
a	N	N
state	N	N
prison	N	N
located	N	N
in	N	N
Natal	N	N
,	N	N
the	N	N
capital	C	N
of	N	N
the	N	N
Brazilian	C	C
state	N	N
,	N	N
Rio	N	N
Grande	N	N
do	N	N
Norte	C	N
.	N	N
----------
After	N	N
upwards	C	N
of	N	N
an	N	N
hour	N	N
,	N	N
with	N	N
the	N	N
house	N	N
surrounded	C	C
by	N	N
special	N	N
police	N	N
units	C	N
,	N	N
the	N	N
suspect	C	N
was	N	N
talked	N	N
out	N	N
of	N	N
the	N	N
house	N	N
.	N	N
----------
Manning	N	N
,	N	N
who	N	N
in	N	N
2010	N	N
released	C	N
thousands	C	C
of	N	N
classified	C	C
documents	N	C
to	N	N
the	N	N
public	N	N
through	N	N
WikiLeaks	C	C
detailing	C	C
abuses	C	N
of	N	N
the	N	N
Iraq	N	N
and	N	N
Afghanistan	C	C
wars	N	N
,	N	N
has	N	N
already	N	N
served	N	N
almost	N	N
seven	N	N
years	N	N
in	N	N
prison	C	N
and	N	N
is	N	N
now	N	N
scheduled	C	C
for	N	N
release	C	N
on	N	N
May	N	N
17	N	N
of	N	N
this	N	N
year	N	N
.	N	N
----------
The	N	N
government	N	C
says	N	N
the	N	N
dead	N	N
include	N	N
five	N	N
suicide	C	N
bombers	C	N
.	N	N
----------
Eight	N	N
people	N	N
found	N	N
slain	C	N
inside	N	N
Houston-area	N	C
home	N	N
Saturday	N	N
night	N	N
,	N	N
police	N	N
in	N	N
Houston	N	N
,	N	N
Texas	N	N
,	N	N
United	N	N
States	N	N
,	N	N
discovered	C	C
eight	N	N
people	N	N
killed	N	N
in	N	N
a	N	N
home	N	N
.	N	N
----------
According	C	C
to	N	N
the	N	N
BBC	N	N
,	N	N
this	N	N
figure	N	N
is	N	N
triple	C	N
the	N	N
initial	C	N
reports	N	N
.	N	N
----------
His	N	N
government	C	C
stands	C	N
accused	C	N
by	N	N
Human	N	N
Rights	N	N
Watch	N	N
of	N	N
not	N	N
taking	N	N
adequate	C	N
measures	N	N
to	N	N
protect	N	N
the	N	N
nation	N	N
's	N	N
citizens	C	N
.	N	N
----------
Around	N	N
21:00	N	N
local	N	N
time	N	N
,	N	N
Harris	N	N
County	N	N
Sheriff	N	N
's	N	N
Office	N	N
(	N	N
HSCO	N	N
)	N	N
deputies	C	N
arrived	N	N
at	N	N
the	N	N
home	N	N
on	N	N
a	N	N
welfare	C	N
check	C	N
.	N	N
----------
Obama	N	N
commutes	C	N
whistleblower	C	C
's	N	N
sentence	N	N
:	N	N
Chelsea	N	N
Manning	C	N
to	N	N
walk	N	N
free	N	N
in	N	N
120	N	N
days	N	N
Yesterday	N	C
,	N	N
mere	C	N
days	N	N
before	N	N
he	N	N
is	N	N
to	N	N
leave	N	N
office	N	N
,	N	N
U.S.	N	N
President	N	C
Barack	N	N
Obama	N	N
commuted	C	N
the	N	N
sentence	C	N
of	N	N
Army	N	N
intelligence	C	C
officer	N	N
Chelsea	N	N
Manning	N	N
from	N	N
35	N	N
years	N	N
to	N	N
time	N	N
served	N	N
.	N	N
----------
Six	N	N
of	N	N
the	N	N
victims	C	N
were	N	N
children	N	N
.	N	N
----------
Reports	N	N
vary	C	N
but	N	N
,	N	N
as	N	N
of	N	N
Sunday	N	N
,	N	N
the	N	N
death	N	N
toll	C	N
may	N	N
have	N	N
reached	N	N
26	N	N
.	N	N
----------
David	N	N
Conley	N	N
,	N	N
49	N	N
,	N	N
was	N	N
arrested	C	N
by	N	N
the	N	N
HSCO	C	N
and	N	N
subsequently	C	C
charged	N	N
with	N	N
the	N	N
crimes	N	N
.	N	N
----------
