coordinator	C	N
Zemilton	C	C
Silva	N	C
witnessed	C	C
this	N	C
happen	N	N
to	N	C
three	N	C
men	N	C
,	N	N
and	N	N
forensic	C	C
report	N	C
that	N	C
there	N	N
have	N	N
been	N	C
more	N	N
.	N	C
----------
After	N	N
repeatedly	C	N
trying	N	N
to	N	N
get	N	N
someone	N	N
to	N	C
come	N	C
to	N	C
the	N	N
door	N	C
,	N	N
officers	C	C
forced	N	N
their	N	N
way	N	N
into	N	C
the	N	N
house	N	C
.	N	N
----------
Here	N	C
,	N	C
police	N	C
say	N	N
,	N	C
they	N	C
were	N	N
met	N	N
by	N	N
gunfire	C	N
and	N	N
a	N	N
standoff	C	N
ensued	C	N
.	N	N
----------
Prison	C	C
authorities	C	C
said	N	N
that	N	C
some	N	N
victims	C	N
were	N	N
decapitated	C	C
.	N	C
----------
Reportedly	C	C
Conley	N	N
had	N	N
a	N	C
lengthy	C	N
history	N	C
of	N	C
violent	C	N
behavior	C	C
that	N	N
landed	C	C
him	N	N
in	N	N
prison	C	C
multiple	C	N
times	N	C
.	N	N
----------
At	N	C
least	N	C
26	N	N
killed	N	C
in	N	C
another	N	N
Brazil	N	N
prison	N	N
riot	C	C
In	N	C
the	N	C
latest	N	C
of	N	N
a	N	C
series	C	C
of	N	N
prison	C	N
riots	C	C
in	N	N
prisons	C	N
across	N	C
Brazil	N	C
,	N	C
dozens	C	C
of	N	N
inmates	C	N
,	N	C
mostly	N	N
rival	C	C
gangs	C	C
,	N	C
were	N	N
reported	N	N
dead	N	C
at	N	C
the	N	N
State	N	N
Penitentiary	C	N
of	N	C
Alcaçuz	C	C
,	N	C
a	N	C
state	N	C
prison	N	N
located	N	N
in	N	C
Natal	N	N
,	N	N
the	N	N
capital	C	C
of	N	N
the	N	N
Brazilian	C	N
state	N	N
,	N	N
Rio	N	N
Grande	N	N
do	N	C
Norte	C	C
.	N	C
----------
After	N	C
upwards	C	C
of	N	C
an	N	C
hour	N	N
,	N	N
with	N	N
the	N	N
house	N	C
surrounded	C	N
by	N	C
special	N	N
police	N	N
units	C	N
,	N	C
the	N	C
suspect	C	N
was	N	C
talked	N	C
out	N	C
of	N	N
the	N	C
house	N	N
.	N	C
----------
Manning	N	C
,	N	N
who	N	C
in	N	N
2010	N	N
released	C	C
thousands	C	N
of	N	C
classified	C	N
documents	N	N
to	N	N
the	N	N
public	N	C
through	N	C
WikiLeaks	C	C
detailing	C	C
abuses	C	C
of	N	C
the	N	N
Iraq	N	N
and	N	N
Afghanistan	C	N
wars	N	N
,	N	C
has	N	N
already	N	N
served	N	N
almost	N	C
seven	N	N
years	N	N
in	N	C
prison	C	N
and	N	N
is	N	N
now	N	N
scheduled	C	N
for	N	C
release	C	C
on	N	N
May	N	N
17	N	C
of	N	N
this	N	C
year	N	C
.	N	N
----------
The	N	C
government	N	N
says	N	C
the	N	C
dead	N	C
include	N	C
five	N	C
suicide	C	C
bombers	C	C
.	N	N
----------
Eight	N	N
people	N	N
found	N	N
slain	C	C
inside	N	N
Houston-area	N	C
home	N	N
Saturday	N	N
night	N	C
,	N	N
police	N	N
in	N	N
Houston	N	N
,	N	C
Texas	N	C
,	N	N
United	N	N
States	N	C
,	N	N
discovered	C	N
eight	N	N
people	N	N
killed	N	C
in	N	N
a	N	N
home	N	C
.	N	N
----------
According	C	C
to	N	N
the	N	C
BBC	N	N
,	N	N
this	N	C
figure	N	N
is	N	N
triple	C	N
the	N	N
initial	C	N
reports	N	N
.	N	N
----------
His	N	C
government	C	N
stands	C	N
accused	C	C
by	N	C
Human	N	N
Rights	N	C
Watch	N	C
of	N	N
not	N	N
taking	N	C
adequate	C	N
measures	N	C
to	N	C
protect	N	N
the	N	C
nation	N	C
's	N	C
citizens	C	C
.	N	C
----------
Around	N	N
21:00	N	N
local	N	C
time	N	N
,	N	N
Harris	N	C
County	N	N
Sheriff	N	N
's	N	N
Office	N	N
(	N	N
HSCO	N	C
)	N	N
deputies	C	N
arrived	N	C
at	N	C
the	N	N
home	N	N
on	N	N
a	N	N
welfare	C	N
check	C	N
.	N	C
----------
Obama	N	C
commutes	C	N
whistleblower	C	N
's	N	N
sentence	N	N
:	N	N
Chelsea	N	N
Manning	C	N
to	N	C
walk	N	C
free	N	N
in	N	C
120	N	N
days	N	C
Yesterday	N	N
,	N	C
mere	C	N
days	N	C
before	N	C
he	N	N
is	N	C
to	N	C
leave	N	N
office	N	C
,	N	C
U.S.	N	C
President	N	N
Barack	N	C
Obama	N	C
commuted	C	N
the	N	N
sentence	C	N
of	N	C
Army	N	N
intelligence	C	N
officer	N	N
Chelsea	N	N
Manning	N	N
from	N	N
35	N	C
years	N	N
to	N	N
time	N	C
served	N	C
.	N	C
----------
Six	N	N
of	N	C
the	N	N
victims	C	C
were	N	C
children	N	C
.	N	C
----------
Reports	N	N
vary	C	N
but	N	C
,	N	C
as	N	C
of	N	C
Sunday	N	N
,	N	C
the	N	C
death	N	N
toll	C	N
may	N	N
have	N	C
reached	N	C
26	N	C
.	N	N
----------
David	N	C
Conley	N	N
,	N	N
49	N	N
,	N	N
was	N	C
arrested	C	C
by	N	N
the	N	N
HSCO	C	C
and	N	N
subsequently	C	N
charged	N	C
with	N	C
the	N	N
crimes	N	N
.	N	N
----------
Al-Qaeda	N	N
in	N	N
the	N	C
Islamic	N	N
Maghreb	C	C
claimed	C	N
a	N	C
single	N	N
bomber	N	N
from	N	C
affiliate	C	C
group	N	C
al-Mourabitoun	C	N
conducted	C	N
the	N	N
attack	N	N
.	N	C
----------
In	N	N
the	N	N
last	N	N
two	N	C
months	N	N
,	N	N
Bayern	N	N
Munich	N	C
has	N	C
announced	C	C
Polish	N	N
striker	C	N
Robert	N	N
Lewandowski	C	C
signed	N	N
a	N	N
contract	C	N
extension	C	C
until	N	N
June	N	N
2021	N	C
and	N	C
French	N	N
winger	C	C
Franck	N	C
Ribéry	C	N
signed	N	C
a	N	N
one-year	N	N
contract	N	C
extension	C	N
with	N	C
the	N	N
club	N	N
.	N	C
----------
